itemd_id,instruction,begin,character,sensory_VP1,sensory_VP1_smell,sensory_DP_PP,end,sensory_VP2,sensory_VP2_smell,ADV_intensifier,PPT_JJ_general,PPT_JJ_specified_tbd,condition,whose_opinion_question,question_sensory_VP,question_sensory_VP_smell,question_PPT_JJ_general,question_PPT_JJ_specified,copua_option12,option_1,option_2,option_3
1,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一进房间，,王梅,看见了,看见了,碗里的凉菜。,它,看起来,看起来,极其,恶心。,难看。,vision,是谁认为凉菜,看起来,看起来,恶心？,难看？,是,叙述者的观点,王梅的观点,叙述者和王梅都这么认为
1,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一进房间，,王梅,闻到了,嗅到了,碗里的凉菜。,它,闻起来,嗅起来,极其,恶心。,难闻。,smell,是谁认为凉菜,闻起来,嗅起来,恶心？,难闻？,是,叙述者的观点,王梅的观点,叙述者和王梅都这么认为
1,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一进房间，,王梅,尝到了,尝到了,碗里的凉菜。,它,尝起来,尝起来,极其,恶心。,难吃。,taste,是谁认为凉菜,尝起来,尝起来,恶心？,难吃？,是,叙述者的观点,王梅的观点,叙述者和王梅都这么认为
1,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我刚一进房间，,王梅,放好了,放好了,碗里的凉菜。,它,非常,非常,极其,恶心。,糟糕。,baseline,是谁认为凉菜,非常,非常,恶心？,糟糕？,是,叙述者的观点,王梅的观点,叙述者和王梅都这么认为
2,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进了房间之后，,张伟,看见了,看见了,桌上的饼干。,它,看起来,看起来,真,糟糕。,干硬。,vision,是谁认为饼干,看起来,看起来,糟糕？,干硬？,是,叙述者的观点,张伟的观点,叙述者和张伟都这么认为
2,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进了房间之后，,张伟,闻到了,嗅到了,桌上的饼干。,它,闻起来,嗅起来,真,糟糕。,变味。,smell,是谁认为饼干,闻起来,嗅起来,糟糕？,变味？,是,叙述者的观点,张伟的观点,叙述者和张伟都这么认为
2,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进了房间之后，,张伟,尝到了,尝到了,桌上的饼干。,它,尝起来,尝起来,真,糟糕。,发苦。,taste,是谁认为饼干,尝起来,尝起来,糟糕？,发苦？,是,叙述者的观点,张伟的观点,叙述者和张伟都这么认为
2,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我进了房间之后，,张伟,放好了,放好了,桌上的饼干。,它,非常,非常,真,糟糕。,难吃。,baseline,是谁认为饼干,非常,非常,糟糕？,难吃？,是,叙述者的观点,张伟的观点,叙述者和张伟都这么认为
3,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到家的时候，,李强,看见了,看见了,锅里的鱼。,它,看起来,看起来,绝对,恶心。,发灰。,vision,是谁认为鱼,看起来,看起来,恶心？,发灰？,是,叙述者的观点,李强的观点,叙述者和李强都这么认为
3,请阅读以下两句话，这是一段带有叙述者的小说节选，然后回答选择题：,我到家的时候，,李强,闻到了,嗅到了,锅里的鱼。,它,闻起来,嗅起来,绝对,恶心。,腥臭。,smell,是谁认为鱼,闻起来,嗅起来,恶心？,腥臭？,是,叙述者的观点,李强的观点,叙述者和李强都这么认为
