,itemd_id,instruction,begin,character,sensory_VP,sensory_DP_PP,end,sensory_VP_s2,ADV_intensifier,PPT_JJ,condition,whose_opinion_question,question_sensory_VP,question_PPT_JJ,option_1,option_2,option_3
96,25,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I arrived at the party,",Daniel,saw,the salad on the table.,It,looked,truly,amazing.,vision,Whose opinion is it that the salad,looked,amazing?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
97,25,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I arrived at the party,",Daniel,smelled,the salad on the table.,It,smelled,truly,amazing.,smell,Whose opinion is it that the salad,smelled,amazing?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
98,25,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I arrived at the party,",Daniel,tasted,the salad on the table.,It,tasted,truly,amazing.,taste,Whose opinion is it that the salad,tasted,amazing?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
99,25,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I arrived at the party,",Daniel,put,the salad on the table.,It,was,truly,amazing.,baseline,Whose opinion is it that the salad,was,amazing?,The narrator's,Daniel's,Both the narrator and Daniel have this opinion.
100,26,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I walked in,",Emma,saw,the sandwich in the bowl.,It,looked,really,tantalizing.,vision,Whose opinion is it that the sandwich,looked,interesting?,The narrator's,Emma's,Both the narrator and Emma have this opinion.
101,26,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I walked in,",Emma,smelled,the sandwich in the bowl.,It,smelled,really,tantalizing.,smell,Whose opinion is it that the sandwich,smelled,interesting?,The narrator's,Emma's,Both the narrator and Emma have this opinion.
102,26,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I walked in,",Emma,tasted,the sandwich in the bowl.,It,tasted,really,tantalizing.,taste,Whose opinion is it that the sandwich,tasted,interesting?,The narrator's,Emma's,Both the narrator and Emma have this opinion.
103,26,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I walked in,",Emma,put,the sandwich in the bowl.,It,was,really,tantalizing.,baseline,Whose opinion is it that the sandwich,was,interesting?,The narrator's,Emma's,Both the narrator and Emma have this opinion.
104,27,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I entered,",James,saw,the milkshake on the table.,It,looked,truly,dreadful.,vision,Whose opinion is it that the milkshake,looked,dreadful?,The narrator's,James's,Both the narrator and James have this opinion.
105,27,"Read the following excerpt from a novel. The passage is narrated in the first person (using ""I"") and includes another character. Then answer the multiple-choice question.","Right after I entered,",James,smelled,the milkshake on the table.,It,smelled,truly,dreadful.,smell,Whose opinion is it that the milkshake,smelled,dreadful?,The narrator's,James's,Both the narrator and James have this opinion.
